,MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
126,32,1,ESL One Birmingham  2019,Evil Geniuses,dire,18.0,LOSE,47:01,Shadow Fiend,Lifestealer,Puck,Visage,Earthshaker
127,32,1,ESL One Birmingham  2019,TNC Predator,radiant,32.0,WIN,47:01,Sniper,Dark Seer,Wraith King,Earth Spirit,Ancient Apparition
128,32,2,ESL One Birmingham  2019,Evil Geniuses,dire,25.0,WIN,55:20,Queen of Pain,Lifestealer,Disruptor,Nyx Assassin,Dark Seer
129,32,2,ESL One Birmingham  2019,TNC Predator,radiant,34.0,LOSE,55:20,Death Prophet,Troll Warlord,Batrider,Sand King,Ancient Apparition
130,32,3,ESL One Birmingham  2019,Evil Geniuses,dire,31.0,WIN,46:29,Alchemist,Juggernaut,Doom,Shadow Shaman,Abaddon
131,32,3,ESL One Birmingham  2019,TNC Predator,radiant,17.0,LOSE,46:29,Razor,Medusa,Batrider,Warlock,Nyx Assassin
132,33,1,ESL One Birmingham  2019,Gambit Esports,radiant,7.0,LOSE,31:40,Legion Commander,Sand King,Shadow Shaman,Morphling,Lone Druid
133,33,1,ESL One Birmingham  2019,Team Secret,dire,23.0,WIN,31:40,Sven,Medusa,Earthshaker,Batrider,Warlock
134,33,2,ESL One Birmingham  2019,Gambit Esports,dire,15.0,LOSE,27:17,Dark Seer,Storm Spirit,Lion,Lone Druid,Earth Spirit
135,33,2,ESL One Birmingham  2019,Team Secret,radiant,18.0,WIN,27:17,Anti-Mage,Beastmaster,Abaddon,Ember Spirit,Enigma
136,34,1,ESL One Birmingham  2019,Vici Gaming,dire,10.0,LOSE,23:06,Death Prophet,Razor,Wraith King,Zeus,Nyx Assassin
137,34,1,ESL One Birmingham  2019,PSG.LGD,radiant,27.0,WIN,23:06,Sniper,Centaur Warrunner,Sven,Pangolier,Shadow Shaman
138,34,2,ESL One Birmingham  2019,Vici Gaming,radiant,44.0,LOSE,54:01,Tiny,Spectre,Abaddon,Grimstroke,Doom
139,34,2,ESL One Birmingham  2019,PSG.LGD,dire,33.0,WIN,54:01,Pudge,Lone Druid,Nature's Prophet,Batrider,Pangolier
140,35,1,ESL One Birmingham  2019,Team Secret,dire,30.0,WIN,33:35,Terrorblade,Tidehunter,Lone Druid,Shadow Shaman,Enigma
141,35,1,ESL One Birmingham  2019,OG,radiant,12.0,LOSE,33:35,Monkey King,Beastmaster,Silencer,Earth Spirit,Troll Warlord
142,35,2,ESL One Birmingham  2019,Team Secret,dire,33.0,WIN,28:52,Mars,Ogre Magi,Grimstroke,Morphling,Lone Druid
143,35,2,ESL One Birmingham  2019,OG,radiant,11.0,LOSE,28:52,Shadow Shaman,Phantom Lancer,Sand King,Troll Warlord,Chen
144,36,1,ESL One Birmingham  2019,Vici Gaming,radiant,5.0,LOSE,30:58,Razor,Wraith King,Crystal Maiden,Nyx Assassin,Dark Seer
145,36,1,ESL One Birmingham  2019,Gambit Esports,dire,27.0,WIN,30:58,Tidehunter,Templar Assassin,Bane,Sven,Earth Spirit
146,36,2,ESL One Birmingham  2019,Vici Gaming,radiant,10.0,LOSE,30:25,Medusa,Monkey King,Batrider,Disruptor,Shadow Shaman
147,36,2,ESL One Birmingham  2019,Gambit Esports,dire,37.0,WIN,30:25,Legion Commander,Leshrac,Bane,Sven,Earth Spirit
148,37,1,ESL One Birmingham  2019,Team Secret,dire,26.0,WIN,38:51,Spectre,Ember Spirit,Shadow Shaman,Tidehunter,Enigma
149,37,1,ESL One Birmingham  2019,TNC Predator,radiant,15.0,LOSE,38:51,Outworld Devourer,Magnus,Rubick,Troll Warlord,Vengeful Spirit
150,37,2,ESL One Birmingham  2019,Team Secret,dire,2.0,LOSE,34:00,Omniknight,Troll Warlord,Grimstroke,Morphling,Earth Spirit
151,37,2,ESL One Birmingham  2019,TNC Predator,radiant,21.0,WIN,34:00,Sniper,Sven,Nature's Prophet,Oracle,Sand King
152,37,3,ESL One Birmingham  2019,Team Secret,radiant,23.0,WIN,30:01,Winter Wyvern,Lifestealer,Ogre Magi,Templar Assassin,Rubick
153,37,3,ESL One Birmingham  2019,TNC Predator,dire,8.0,LOSE,30:01,Alchemist,Legion Commander,Nature's Prophet,Oracle,Sven
154,38,1,ESL One Birmingham  2019,PSG.LGD,radiant,19.0,LOSE,39:31,Queen of Pain,Bane,Dark Willow,Mars,Sven
155,38,1,ESL One Birmingham  2019,Evil Geniuses,dire,23.0,WIN,39:31,Leshrac,Lifestealer,Shadow Demon,Spirit Breaker,Dark Seer
156,38,2,ESL One Birmingham  2019,PSG.LGD,radiant,18.0,LOSE,38:07,Wraith King,Storm Spirit,Ancient Apparition,Nature's Prophet,Earthshaker
157,38,2,ESL One Birmingham  2019,Evil Geniuses,dire,32.0,WIN,38:07,Naga Siren,Leshrac,Mars,Shadow Shaman,Abaddon
158,39,1,ESL One Birmingham  2019,PSG.LGD,radiant,26.0,WIN,33:52,Death Prophet,Sven,Mars,Shadow Shaman,Pangolier
159,39,1,ESL One Birmingham  2019,Team Secret,dire,29.0,LOSE,33:52,Medusa,Storm Spirit,Doom,Ogre Magi,Rubick
160,39,2,ESL One Birmingham  2019,PSG.LGD,radiant,4.0,LOSE,33:43,Medusa,Monkey King,Batrider,Doom,Rubick
161,39,2,ESL One Birmingham  2019,Team Secret,dire,32.0,WIN,33:43,Venomancer,Leshrac,Earth Spirit,Sven,Chen
162,39,3,ESL One Birmingham  2019,PSG.LGD,dire,15.0,LOSE,41:39,Juggernaut,Leshrac,Shadow Demon,Sven,Dark Seer
163,39,3,ESL One Birmingham  2019,Team Secret,radiant,44.0,WIN,41:39,Spectre,Shadow Fiend,Earthshaker,Batrider,Warlock
164,40,1,ESL One Birmingham  2019,Evil Geniuses,radiant,27.0,LOSE,51:52,Arc Warden,Templar Assassin,Bane,Tidehunter,Enigma
165,40,1,ESL One Birmingham  2019,Team Secret,dire,47.0,WIN,51:52,Storm Spirit,Undying,Leshrac,Sven,Rubick
166,40,2,ESL One Birmingham  2019,Evil Geniuses,dire,29.0,WIN,35:52,Doom,Grimstroke,Leshrac,Sven,Chen
167,40,2,ESL One Birmingham  2019,Team Secret,radiant,12.0,LOSE,35:52,Mars,Ember Spirit,Undying,Gyrocopter,Io
168,40,3,ESL One Birmingham  2019,Evil Geniuses,dire,18.0,LOSE,41:11,Centaur Warrunner,Lifestealer,Ogre Magi,Leshrac,Io
169,40,3,ESL One Birmingham  2019,Team Secret,radiant,28.0,WIN,41:11,Sand King,Anti-Mage,Shadow Demon,Death Prophet,Enigma
170,40,4,ESL One Birmingham  2019,Evil Geniuses,dire,32.0,WIN,30:42,Spectre,Storm Spirit,Batrider,Mars,Ancient Apparition
171,40,4,ESL One Birmingham  2019,Team Secret,radiant,6.0,LOSE,30:42,Phantom Assassin,Puck,Abaddon,Templar Assassin,Io
172,40,5,ESL One Birmingham  2019,Evil Geniuses,dire,19.0,LOSE,38:45,Death Prophet,Spectre,Mars,Doom,Warlock
173,40,5,ESL One Birmingham  2019,Team Secret,radiant,30.0,WIN,38:45,Naga Siren,Monkey King,Shadow Shaman,Dark Seer,Nyx Assassin
174,41,1,StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,dire,31.0,LOSE,40:04,Death Prophet,Doom,Abaddon,Leshrac,Sand King
175,41,1,StarLadder ImbaTV Dota 2 Minor Season 2,Team Anvorgesa,radiant,36.0,WIN,40:04,Meepo,Dark Seer,Chaos Knight,Batrider,Grimstroke
176,41,2,StarLadder ImbaTV Dota 2 Minor Season 2,EHOME,dire,25.0,WIN,23:37,Beastmaster,Leshrac,Rubick,Templar Assassin,Oracle
